DUS,DRA,SLA,SLB,TEB,GKR,JSF,DUS
DUS,DRA,SLA,SLB,TEB,GKR,GRA,DUS
DUS,DRA,SLA,SLB,GUD,JSF,GRA,DUS
DUS,DRA,SLA,SLB,TEB,GUD,JSF,DUS
DUS,DRA,SLA,SLB,TEB,GUD,GRA,DUS
DUS,DRA,SLA,TEB,SLB,JSF,GRA,DUS
DUS,DSA,SLA,SLB,GKR,GUD,GRA,DUS
DUS,DSA,SLA,TEB,GKR,GUD,GRA,DUS
DUS,DSA,SLB,TEB,GKR,GUD,GRA,DUS
DUS,SLA,SLB,TEB,GKR,GUD,DSA,DUS
DUS,DSA,SLA,SLB,TEB,GKR,GRA,DUS
DUS,DSA,SLA,SLB,TEB,GUD,GRA,DUS
DUS,SLA,SLB,TEB,GKR,GUD,GRA,DUS
DUS,SLA,SLB,TEB,GKR,JSF,GRA,DUS
DUS,JSF,SLA,SLB,TEB,GUD,GRA,DUS
DUS,DSA,DRA,SLA,SLB,TEB,GKR,GRA,DUS
DUS,DSA,DRA,SLA,SLB,TEB,GUD,GRA,DUS
DUS,DRA,SLA,SLB,TEB,GKR,GUD,GRA,DUS
